ModelNum m_N2 m_N1 m_C1 dM X0G X0qq X0ll X0nn X1qq X1ln 
4856917.slha -287.040549 236.952219 239.991318 50.088329999999985 0.00127865199 0.2389159167 0.0369271318 0.0737247335 0.4328451 0.21630846720000002 
5332914.slha -234.249787 183.894947 188.203773 50.354839999999996 0.00192719183 0.2577217269 0.0396320348 0.07948153790000001 0.414486848 0.20675066 
5367528.slha -279.736326 229.708579 232.900179 50.02774700000003 0.00135355324 0.2415078838 0.0371232813 0.0744731943 0.430694156 0.21484792960000004 
5449418.slha 208.905866 -159.264152 163.587956 49.64171400000001 0.0025044058 0.25549793229999995 0.0393080873 0.0788549156 0.416231264 0.2076033948 
5457000.slha -295.637917 245.325257 249.908291 50.31266000000002 0.00148988477 0.2681193522 0.0414867208 0.0826425625 0.404208704 0.2020527762 
589325.slha 586.284479 -535.948953 537.35118 50.33552600000007 0.000400298958 0.21475012840000002 0.032976388100000004 0.06613256270000001 0.457500056 0.2282405654 
5960298.slha -293.552623 243.479683 273.22401 50.07293999999999 0.00671513389 0.6476937949999999 0.09956566380000001 0.1996797152 0.03102414116 0.015321552119999998 
6040791.slha 387.912701 -337.424716 339.876602 50.48798500000004 0.00127626881 0.2307775433 0.0353665207 0.0706345374 0.441431364 0.22051376499999997 
611183.slha 752.078655 -702.205513 703.923956 49.87314200000003 0.00028816965 0.221966169 0.0341184565 0.0686841587 0.450209068 0.2247339764 
617476.slha 438.722737 -388.3429 418.40084 50.37983700000001 0.00340410041 0.655479891 0.1007275336 0.2020140845 0.02568864252 0.012685747800000001 
6175098.slha 543.277882 -493.251864 495.547696 50.026017999999965 0.000548286392 0.2316750113 0.0356270968 0.0714315051 0.440801096 0.2199170024 
6585607.slha -243.764083 193.82738 198.360353 49.936702999999994 0.00218781835 0.2633472342 0.0404120977 0.0810368572 0.409006632 0.20400936079999998 
669953.slha -427.67804 377.980458 380.446527 49.69758200000001 0.000822629039 0.2332655125 0.0361171352 0.0720194991 0.438855032 0.2189201916 
6711340.slha 1016.44839 -966.040389 966.680949 50.40800100000001 0.000392353163 0.20214797800000003 0.0310946198 0.062367090199999996 0.469662368 0.234335589 
721260.slha -194.181375 144.416002 149.348778 49.76537300000001 0.00308892305 0.26173526449999995 0.040184139199999996 0.08007445869999999 0.41015216 0.2047650552 
7291932.slha 163.061009 -113.224384 118.753046 49.83662500000001 0.00385116376 0.2638581659 0.0404792762 0.0811698937 0.407433636 0.2032078634 
7321800.slha 321.791791 -272.13464 274.873203 49.657151 0.00114289039 0.2354072725 0.0361881552 0.0725690453 0.436812144 0.2178804922 
7442053.slha -415.016139 365.492942 367.693325 49.52319699999998 0.000822004112 0.2284677913 0.0351411441 0.0703240301 0.443743572 0.2215014568 
7609991.slha 344.944568 -295.368799 297.967718 49.57576899999998 0.00142683417 0.23309280940000002 0.0356512209 0.0714106318 0.439284548 0.2191339578 
7647965.slha 326.449378 -276.40194 280.060619 50.047438 0.00137787096 0.25188984280000004 0.0393739112 0.0782186696 0.41929532 0.2098443862 
7904166.slha 618.607872 -568.293847 569.7382 50.314025000000015 0.000426475146 0.21635590419999998 0.0332618209 0.0667021773 0.4558631 0.2273905216 
7954602.slha -345.624012 295.560471 298.72018 50.06354099999999 0.00113466687 0.2439383024 0.0374732383 0.075061286 0.428546488 0.2138460196 
8169595.slha 317.504817 -267.219753 270.289634 50.28506399999998 0.00132053027 0.24001527630000002 0.0369379158 0.0740970444 0.431931028 0.21569820520000002 
8276164.slha -400.98283 350.623273 352.689843 50.359556999999995 0.000762506034 0.22433045389999998 0.0344541231 0.0691085384 0.447894952 0.2234494286 
8405136.slha -1045.50079 995.669654 996.620495 49.831136000000015 0.000239295016 0.2088606103 0.0321195473 0.0644250744 0.463236968 0.2311185056 
8588758.slha -719.264973 669.621169 671.478629 49.643804000000046 0.00031864504 0.2252157381 0.0346380232 0.0694630474 0.447242792 0.2231217554 
8666131.slha -882.133695 832.566688 833.460477 49.56700699999999 0.000375071257 0.20713938189999997 0.0318591679 0.06386648340000001 0.464830856 0.23192903880000001 
873209.slha -471.514963 421.853513 423.388203 49.66145 0.000574286569 0.2164377793 0.0331382933 0.0668051842 0.455713876 0.22733058020000002 
8869868.slha -712.59468 662.496433 663.985736 50.098247000000015 0.000397532363 0.217646229 0.0334380152 0.0670632479 0.454634748 0.2268202262 
8902071.slha -640.074601 590.495424 592.069201 49.57917700000007 0.000437878565 0.21945472219999998 0.03380072 0.067800272 0.452674604 0.2258318044 
8932140.slha 435.743655 -386.13074 388.265397 49.61291499999999 0.000683387597 0.227110536 0.0348599284 0.0702349271 0.444895784 0.2222154356 
8939027.slha -612.999838 562.978614 564.470242 50.02122399999996 0.000396686703 0.21685775619999997 0.0333601671 0.06699283860000001 0.455225072 0.22716747940000004 
911474.slha 535.946091 -486.054045 487.859043 49.89204600000005 0.000546021927 0.22242459739999998 0.0342180115 0.0686123611 0.44979296 0.2244060478 
9360090.slha -510.809549 461.178459 463.355464 49.63109000000003 0.000567757516 0.22923205829999999 0.035268443499999996 0.0707523741 0.443111396 0.22106797179999998 
9446.slha -209.3909 159.019599 163.384911 50.37130099999999 0.00225067234 0.25536920409999997 0.0390271539 0.0782419286 0.4170712 0.20803984059999997 
9542032.slha -256.238225 206.542651 209.759178 49.69557399999999 0.00176455268 0.2394283458 0.0372096755 0.0739484536 0.432075196 0.2155737784 
9556050.slha 185.342329 -134.870925 136.799869 50.47140400000001 0.00165579063 0.21050721509999998 0.0323008486 0.06478674849999999 0.460872144 0.22987725259999997 
956497.slha -203.852958 153.380926 157.196241 50.47203200000001 0.00211448578 0.2437441781 0.0374383383 0.0751217569 0.428044884 0.21353635880000002 
9609984.slha 671.12563 -620.826844 626.538201 50.29878599999995 0.000450010261 0.2995790895 0.0459563775 0.0921492731 0.3748863628 0.1869788868 
